Datum letzte Änderung_Modul;AGS;Regierungsbezirk;Landkreis;Gemeinde;Datum_Modul1; Link_Modul1; Datum_Modul2; Link_Modul2; Datum_Modul3; Link_Modul3; Datum_Modul4; Link_Modul4; Datum_Modul5; Link_Modul5; Datum_Modul6; Link_Modul6; Datum_Modul7; Link_Modul7; Datum_Modul8; Link_Modul8; Datum_Modul9; Link_Modul9;Status Verfahren
;09576111;Mittelfranken;Roth;Abenberg, St;2014-10-15;http://www.abenberg.de/index.php?id=441;2014-10-15;http://www.abenberg.de/index.php?id=441;2015-03-20;http://www.abenberg.de/index.php?id=441;2015-03-20;http://www.abenberg.de/index.php?id=441;2015-08-14;http://abenberg.de/index.php?id=441;;;;;;;;;;
;09273111;Niederbayern;Kelheim;Abensberg, St;<b>1: </b>  2013-04-16 ||<b>2: </b>2014-07-31||<b>3: </b>2015-07-09;||http://www.abensberg.de/buergerservice/aktuelles/dsl-ausbau||http://www.abensberg.de/buergerservice/dsl-ausbau/nachverdichtung;<b>1: </b>  2013-05-28 ||<b>2: </b>2014-07-31||<b>3: </b>2015-07-09;||http://www.abensberg.de/buergerservice/aktuelles/dsl-ausbau||http://www.abensberg.de/buergerservice/dsl-ausbau/nachverdichtung;<b>1: </b>  2013-08-15 ||<b>2: </b>2014-10-21;||http://www.abensberg.de/buergerservice/aktuelles/dsl-ausbau;<b>1: </b>  2013-08-15 ||<b>2: </b>2014-10-21;||http://www.abensberg.de/buergerservice/aktuelles/dsl-ausbau;<b>1: </b>  2013-12-04 ||<b>2: </b>2015-03-14;||http://www.abensberg.de/buergerservice/aktuelles/dsl-ausbau;<b>1: </b>  2014-07-24 ||<b>2: </b>2015-04-20;||http://www.abensberg.de/buergerservice/aktuelles/dsl-ausbau;<b>1: </b>  2014-08-29 ||<b>2: </b>2015-07-09;||http://www.abensberg.de/neuigkeiten-2014/140714_muster_bestaetigung_freigabe_kooperationsvertrag.pdf;<b>1: </b> 2014-10-18;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10018/141016_Fördersteckbrief_Abensberg.pdf;;;;
;09577111;Mittelfranken;Weißenburg-Gunzenhausen;Absberg, M;2015-07-31;http://breitband.regensburg-it.de/absberg#markterkundung-bekanntmachung;2015-07-31;http://breitband.regensburg-it.de/absberg#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
13.05.2015_4;09276111;Niederbayern;Regen;Achslach;2014-08-19;http://www.achslach.de;2014-08-19;http://www.achslach.de;2015-03-28;http://www.achslach.de/Gemeinde/Schnelles_Internet/schnelles_internet.html;2015-03-28*;http://www.achslach.de/Gemeinde/Schnelles_Internet/schnelles_internet.html;;;;;;;;;;;;
;09176111;Oberbayern;Eichstätt;Adelschlag;2014-08-06;http://adelschlag.de/BreitbandausbauAdelschlag.aspx;2014-11-19;http://adelschlag.de/BreitbandausbauAdelschlag.aspx;2015-06-25;http://breitband.regensburg-it.de/adelschlag/articles/2732;2015-07-15;http://breitband.regensburg-it.de/adelschlag/articles/2733;;;;;;;;;;;;
12.06.2015_4;09572111;Mittelfranken;Erlangen-Höchstadt;Adelsdorf;2015-01-14;http://www.adelsdorf.de;2015-01-14;http://www.adelsdorf.de;2015-04-15;http://www.adelsdorf.de;2015-04-15*;http://www.adelsdorf.de;;;;;;;;;;;;
;09571111;Mittelfranken;Ansbach;Adelshofen;2013-07-06;;2013-10-22;;2014-07-01;;2014-07-30;;2014-12-13;;2015-02-02;;2015-06-02;;2015-07-02;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10305/150701_Fördersteckbrief%20Adelshofen.pdf;;;;
;09179111;Oberbayern;Fürstenfeldbruck;Adelshofen;2015-04-14;http://www.vgmammendorf.de;2015-04-14;http://www.vgmammendorf.de;;;;;;;;;;;;;;;;
;09772111;Schwaben;Augsburg;Adelsried;2015-07-17;http://www.gemeinde-adelsried.de/www/index.php?language=de&namespace=user&handler=Breitband&method=index;2015-07-17;http://www.gemeinde-adelsried.de/www/index.php?language=de&namespace=user&handler=Breitband&method=index;;;;;;;;;;;;;;;;
06.02.2015_4;09771111;Schwaben;Aichach-Friedberg;Adelzhausen;<b>1: </b>  2013-12-10 ||<b>2: </b>2014-10-09;||http://adelzhausen.vg-dasing.de/index.php?id=2196,89;<b>1: </b>  2014-02-11 ||<b>2: </b>2014-10-09;||http://adelzhausen.vg-dasing.de/index.php?id=2196,89;<b>1: </b>  2014-03-28 ||<b>2: </b>2014-11-29;||http://adelzhausen.vg-dasing.de/index.php?id=2196,89;<b>1: </b>  2014-04-09 ||<b>2: </b>2014-11-29*;||http://adelzhausen.vg-dasing.de/index.php?id=2196,89;<b>1: </b>  2014-08-09 ||<b>2: </b>2015-04-14;||http://adelzhausen.vg-dasing.de/index.php?id=2196,89;<b>1: </b>  2014-10-24 ||<b>2: </b>2015-04-20;||http://adelzhausen.vg-dasing.de/index.php?id=2196,89;<b>1: </b>  2014-12-06 ||<b>2: </b>2015-07-14;||http://adelzhausen.vg-dasing.de/index.php?id=2196,89;<b>1: </b>  2014-12-06 ||<b>2: </b>2015-07-14;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10109/150408_Fördersteckbrief_Adelzhausen.pdf||http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10326/150713_Fördersteckbrief_Adelzhausen.pdf;;;;
;09274111;Niederbayern;Landshut;Adlkofen;2014-07-16;http://www.adlkofen.de;2015-07-24;http://breitband.regensburg-it.de/adlkofen#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09771112;Schwaben;Aichach-Friedberg;Affing;2015-06-16;http://www.affing.de/index.php?id=0,148;2015-06-16;http://www.affing.de/index.php?id=0,148;;;;;;;;;;;;;;;;
;09274112;Niederbayern;Landshut;Aham;2014-03-28;http://www.gerzen.de/gemeindeseiten/aham/Markterkundung_DSL/Schnelles_Internet_Aham.php;2014-09-26;http://gerzen.de/gemeindeseiten/aham/Markterkundung_DSL/Schnelles_Internet_Aham.php;2014-12-03;http://gerzen.de/gemeindeseiten/aham/Markterkundung_DSL/Schnelles_Internet_Aham.php;2014-12-03;http://gerzen.de/gemeindeseiten/aham/Markterkundung_DSL/Schnelles_Internet_Aham.php;2015-06-27;http://gerzen.de/gemeindeseiten/aham/Markterkundung_DSL/Schnelles_Internet_Aham.php;2015-09-09;http://gerzen.de/gemeindeseiten/aham/Markterkundung_DSL/Schnelles_Internet_Aham.php;;;;;;;;
;09278112;Niederbayern;Straubing-Bogen;Aholfing;2013-12-14;http://www.vgem-rain.de/dsl_ah_markterkundung.htm;2014-04-24;http://www.vgem-rain.de/dsl_ah_markterkundung.htm;2014-08-09;http://www.vgem-rain.de;2014-08-09;http://www.vgem-rain.de;2015-05-28;http://www.vgem-rain.de/DSL50.Aholfing.Bek.der%20vorgesehenen%20Auswahlentscheidung.pdf;2015-08-08;http://www.aholfing.de/;;;;;;;;
;09271111;Niederbayern;Deggendorf;Aholming;2015-02-06;http://www.aholming.de/;2015-02-06;http://www.aholming.de/;2015-09-25;http://breitband.regensburg-it.de/aholming#markterkundung-ergebnis;2015-09-25;http://breitband.regensburg-it.de/aholming#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09473112;Oberfranken;Coburg;Ahorn;2014-09-27;http://www.ahorn.de/gv_ahorn/Leben%20in%20Ahorn/Schnelles%20Internet/;2014-09-27;http://www.ahorn.de/gv_ahorn/Leben%20in%20Ahorn/Schnelles%20Internet/;2015-03-24;http://www.ahorn.de/gv_ahorn/Leben%20in%20Ahorn/Schnelles%20Internet/;2015-03-24;http://www.ahorn.de/gv_ahorn/Leben%20in%20Ahorn/Schnelles%20Internet/;2015-09-22;http://www.ahorn.de/gv_ahorn/Leben%20in%20Ahorn/Schnelles%20Internet/;;;;;;;;;;
;09472111;Oberfranken;Bayreuth;Ahorntal;<b>1: </b>  2013-05-22 ||<b>2: </b>2014-10-29;||http://www.ahorntal.de/Gemeinde/Breitbandversorgung.aspx;<b>1: </b>  2013-10-16 ||<b>2: </b>2014-10-29;||http://www.ahorntal.de/Gemeinde/Breitbandversorgung.aspx;<b>1: </b>  2014-04-01 ||<b>2: </b>2015-01-09;||http://www.ahorntal.de/Gemeinde/Breitbandversorgung.aspx;<b>1: </b>  2014-04-08 ||<b>2: </b>2015-01-22;||http://www.ahorntal.de/Gemeinde/Breitbandversorgung.aspx;<b>1: </b>  2014-07-24 ||<b>2: </b>2015-04-17;||http://www.ahorntal.de/Gemeinde/Breitbandversorgung.aspx;<b>1: </b> 2015-02-02;;<b>1: </b>  2014-12-18 ||<b>2: </b>2015-05-13;||http://www.ahorntal.de/Gemeinde/Breitbandversorgung.aspx;<b>1: </b> 2015-02-06;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10139/150612_Fördersteckbrief_Ahorntal.pdf;;;;
