AGS;Gemeinde;Regierungsbezirk;Landkreis
09161000;Ingolstadt;Oberbayern;Stadt Ingolstadt
09171112;Burghausen;Oberbayern;Altötting
09171113;Burgkirchen a.d. Alz;Oberbayern;Altötting
09171114;Emmerting;Oberbayern;Altötting
09171115;Erlbach;Oberbayern;Altötting
09171124;Mehring;Oberbayern;Altötting
09171126;Perach;Oberbayern;Altötting
09171131;Teising;Oberbayern;Altötting
09171137;Winhöring;Oberbayern;Altötting
09172111;Ainring;Oberbayern;Berchtesgadener Land
09172116;Berchtesgaden;Oberbayern;Berchtesgadener Land
09172117;Bischofswiesen;Oberbayern;Berchtesgadener Land
09172118;Freilassing;Oberbayern;Berchtesgadener Land
09172122;Laufen;Oberbayern;Berchtesgadener Land
09172128;Piding;Oberbayern;Berchtesgadener Land
09172130;Saaldorf-Surheim;Oberbayern;Berchtesgadener Land
09172131;Schneizlreuth;Oberbayern;Berchtesgadener Land
09172132;Schönau a. Königssee;Oberbayern;Berchtesgadener Land
09172134;Teisendorf;Oberbayern;Berchtesgadener Land
09173118;Dietramszell;Oberbayern;Bad Tölz-Wolfratshausen
09173120;Egling;Oberbayern;Bad Tölz-Wolfratshausen
09173124;Gaißach;Oberbayern;Bad Tölz-Wolfratshausen
09173127;Greiling;Oberbayern;Bad Tölz-Wolfratshausen
09173137;Münsing;Oberbayern;Bad Tölz-Wolfratshausen
09173140;Reichersbeuern;Oberbayern;Bad Tölz-Wolfratshausen
09173141;Sachsenkam;Oberbayern;Bad Tölz-Wolfratshausen
09173142;Schlehdorf;Oberbayern;Bad Tölz-Wolfratshausen
09173145;Wackersberg;Oberbayern;Bad Tölz-Wolfratshausen
09174113;Bergkirchen;Oberbayern;Dachau
09174118;Erdweg;Oberbayern;Dachau
09174121;Haimhausen;Oberbayern;Dachau
09174122;Hebertshausen;Oberbayern;Dachau
09174135;Odelzhausen;Oberbayern;Dachau
09174137;Pfaffenhofen a.d. Glonn;Oberbayern;Dachau
09174141;Röhrmoos;Oberbayern;Dachau
09174143;Schwabhausen;Oberbayern;Dachau
09174146;Sulzemoos;Oberbayern;Dachau
09174147;Hilgertshausen-Tandern;Oberbayern;Dachau
09174150;Vierkirchen;Oberbayern;Dachau
09174151;Weichs;Oberbayern;Dachau
09175113;Baiern;Oberbayern;Ebersberg
09175114;Bruck;Oberbayern;Ebersberg
09175115;Ebersberg;Oberbayern;Ebersberg
09175122;Grafing b. München;Oberbayern;Ebersberg
09175123;Hohenlinden;Oberbayern;Ebersberg
09175124;Kirchseeon;Oberbayern;Ebersberg
09175128;Moosach;Oberbayern;Ebersberg
09175132;Vaterstetten;Oberbayern;Ebersberg
09175133;Pliening;Oberbayern;Ebersberg
09175136;Emmering;Oberbayern;Ebersberg
09176111;Adelschlag;Oberbayern;Eichstätt
09176112;Altmannstein;Oberbayern;Eichstätt
09176114;Beilngries;Oberbayern;Eichstätt
09176121;Dollnstein;Oberbayern;Eichstätt
09176123;Eichstätt;Oberbayern;Eichstätt
09176126;Gaimersheim;Oberbayern;Eichstätt
09176129;Großmehring;Oberbayern;Eichstätt
09176131;Hepberg;Oberbayern;Eichstätt
09176132;Hitzhofen;Oberbayern;Eichstätt
09176137;Kinding;Oberbayern;Eichstätt
09176138;Kipfenberg;Oberbayern;Eichstätt
09176139;Kösching;Oberbayern;Eichstätt
